essay_id,score,raw_pred
000d118,3,2.4816792
0040e27,3,3.224758
0047cb3,2,2.1959667
005a72e,4,4.0990877
00d027f,3,3.1392548
00e047b,4,3.8021755
00f3984,2,2.194339
00f6383,3,3.5800245
00fd564,3,3.1707036
01247bc,2,2.6064205
01267d1,1,2.745592
014f1b3,2,1.5131507
0151c0f,4,3.9576645
0156ea6,1,1.1304169
016010c,5,4.3949056
01665d5,3,3.0728228
01846d8,2,1.722533
018fbeb,2,2.896583
01a0d33,3,3.5892298
01a53e1,4,3.0939338
01ae85f,3,3.4860866
01b55c8,4,4.4677534
01bb061,1,2.8264294
01bb2f3,2,3.1091444
01c3e09,1,1.4019976
01cbe3d,4,3.5519533
01dabde,5,4.682171
01e64c4,2,2.110099
0210900,2,2.0183861
0211cb6,1,3.1457975
021271e,3,2.8823333
0220c9f,3,2.9923346
0224c63,2,2.5436926
022a010,5,4.0542407
023c138,4,3.9057353
0281195,2,2.319999
0286af8,2,2.6930237
0296469,3,3.9788125
02da02a,3,3.7490606
02f6c8a,5,3.9718313
0302537,3,2.6340394
030cf8b,3,4.001937
031ab01,4,4.0919147
03237a6,3,3.6139712
0331f55,4,4.0443172
035e3c7,3,3.8104863
0374dae,3,2.4345183
037545d,4,3.9036121
039b748,4,3.571643
039fed8,2,2.7968762
03c0382,4,3.7635365
03c75d3,4,4.160047
03ca725,3,2.5507274
03ce0a7,4,3.8284965
03d8fe8,4,3.9823072
03ee9ea,2,2.2753632
03ffbb2,2,2.831281
04030c7,3,3.7844973
04128c7,3,3.0623374
0425a6e,3,2.9679403
042b0cd,4,3.536091
043d5a8,2,3.173932
044a23f,3,3.6685
046d467,1,1.1549953
047a377,3,2.6924267
04a4399,4,3.8984332
04af4e1,1,2.0060234
04b354e,5,4.402361
04d0713,2,1.7723374
04dbd25,4,4.067044
04df837,4,3.5826035
04e1177,2,1.8486202
0502b23,3,2.9822829
051429c,3,1.664931
0516f28,1,1.5435106
053fa01,3,2.4303465
0550fb1,3,3.0691988
05806ed,3,3.1612082
0581013,2,2.094153
05aacdb,4,4.05634
05b01a4,3,3.418628
05bcd1b,2,1.5206442
05c2752,2,2.0177593
05dcee6,2,2.0705774
05e1eae,2,1.8298026
