essay_id,score,raw_pred
000fe60,3,2.9607358
0033bf4,3,2.998243
00613e3,3,3.194364
0065bd6,3,3.0478852
006c931,3,3.0118747
007db64,2,1.8106865
00a541a,2,2.4662235
00c3589,4,3.492964
00d4911,4,3.459926
00dd003,2,3.0627751
00e3edb,1,1.7882487
00ef89f,1,2.109971
0163804,4,3.9382174
019b862,2,2.1280594
019e2c4,3,3.6828024
01a39ed,4,3.8040197
01bb07c,4,3.4256952
01ec06b,3,2.9616761
022d72e,3,3.0866559
0237cbd,2,2.731315
023ab53,4,3.4562337
0262618,2,1.6018784
0279487,1,2.057936
027a1f9,2,2.2029834
02a1298,2,2.9631853
02c0440,3,2.779744
02cd88d,1,1.3574816
02d1c60,2,2.2748225
02d481d,6,4.5843973
02d8dd2,4,4.019603
02dabc0,2,2.7645571
02ecf18,2,1.5992025
0307ec7,2,2.6762166
03194a0,4,3.461457
032153a,3,3.1206148
032a3bf,2,4.252529
032db9e,4,4.270974
0338170,1,1.7014136
033a27e,2,1.8076668
033aa4b,2,1.811641
03448b6,3,2.671041
0345980,4,3.8199308
035a4d2,1,0.8035443
036e19b,2,2.9168944
036f820,3,3.17694
0376bcb,3,2.7492454
037ac1f,3,3.135865
039e817,2,2.2484217
03f8d0e,3,2.704727
040ba87,4,3.7490973
040bb8a,4,3.9368865
041804e,4,3.9857502
0429d4a,2,2.4744174
0435f85,3,2.831726
04575a9,4,4.093215
0459116,5,4.5391912
045fec2,3,3.6388428
0467e2a,4,3.9630165
047bb6e,1,1.6152896
047f2c6,3,3.2369251
0493c5f,1,1.1819868
0499982,3,3.0826375
04a4c98,3,2.693893
04a99cb,3,3.727532
04af97d,4,3.880989
04d2b73,4,3.646615
04db8d6,3,2.3612921
04defeb,2,2.3787348
04ef8ff,3,3.292206
04f8928,2,2.3911679
0509d92,4,2.361364
05182bf,4,3.4759734
054e4c8,3,2.744657
0571af0,4,3.7659304
0595f5d,1,1.2610165
05b0858,4,3.456457
05b37db,2,2.027398
05c4acd,2,2.3135066
05cafcf,4,3.483655
