essay_id,src,topic
000d118,kaggle-persuade,5
000fe60,kaggle-only,3
001ab80,kaggle-only,6
001bdc0,kaggle-only,1
002ba53,kaggle-persuade,4
0030e86,kaggle-persuade,4
0033037,kaggle-only,0
0033bf4,kaggle-persuade,9
0036253,kaggle-persuade,1
0040e27,kaggle-persuade,9
004229b,kaggle-persuade,6
0047cb3,kaggle-persuade,5
005a72e,kaggle-persuade,12
00613e3,kaggle-persuade,4
0065bd6,kaggle-only,6
0066c7c,kaggle-persuade,6
006c931,kaggle-persuade,0
006d0e1,kaggle-persuade,9
0072128,kaggle-persuade,5
0079938,kaggle-persuade,6
0079f2a,kaggle-persuade,1
007db64,kaggle-only,0
0081f18,kaggle-persuade,12
008341a,kaggle-persuade,9
0084f6c,kaggle-persuade,0
0087059,kaggle-only,1
0098ef4,kaggle-persuade,5
00a3575,kaggle-persuade,1
00a4469,kaggle-persuade,0
00a541a,kaggle-only,1
00a6693,kaggle-persuade,9
00a6e71,kaggle-persuade,5
00aa6de,kaggle-persuade,0
00b2fe2,kaggle-persuade,12
00b3311,kaggle-persuade,1
00bee4c,kaggle-persuade,6
00c3589,kaggle-only,1
00cb5dc,kaggle-persuade,1
00ccc2d,kaggle-persuade,1
00d027f,kaggle-only,0
00d4911,kaggle-persuade,4
00d576b,kaggle-persuade,4
00da297,kaggle-only,1
00daaa2,kaggle-persuade,5
00dd003,kaggle-only,0
00e047b,kaggle-persuade,5
00e3edb,kaggle-persuade,1
00e5687,kaggle-only,1
00eabc5,kaggle-only,0
00ef89f,kaggle-persuade,0
00f3984,kaggle-persuade,3
00f6383,kaggle-persuade,4
00f6ac7,kaggle-persuade,1
00fca9b,kaggle-only,1
00fd564,kaggle-only,0
00feec3,kaggle-persuade,1
0105e2e,kaggle-persuade,3
0123792,kaggle-persuade,1
01247bc,kaggle-persuade,9
01267d1,kaggle-only,3
01290ec,kaggle-persuade,9
012c9be,kaggle-persuade,1
012f8f0,kaggle-only,1
013ac83,kaggle-persuade,5
