essay_id,score,raw_pred
000fe60,3,2.8857598
0033bf4,3,3.0582368
00613e3,3,2.9966507
0065bd6,3,3.0894651
006c931,3,3.054595
007db64,2,1.6105447
00a541a,2,2.4798913
00c3589,4,3.4859226
00d4911,4,3.3438804
00dd003,2,3.0811234
00e3edb,1,1.837379
00ef89f,1,1.9533659
0163804,4,3.9602036
019b862,2,1.958275
019e2c4,3,3.7232885
01a39ed,4,3.8650389
01bb07c,4,3.093249
01ec06b,3,2.959209
022d72e,3,3.0217462
0237cbd,2,2.7344456
023ab53,4,3.4574714
0262618,2,1.9789412
0279487,1,1.8311391
027a1f9,2,2.0834281
02a1298,2,2.749992
02c0440,3,2.8516912
02cd88d,1,1.1397775
02d1c60,2,2.2826142
02d481d,6,4.4778624
02d8dd2,4,4.0566435
02dabc0,2,2.6386402
02ecf18,2,1.2295575
0307ec7,2,2.786251
03194a0,4,3.4867127
032153a,3,3.2665336
032a3bf,2,4.1662645
032db9e,4,4.087798
0338170,1,1.4868103
033a27e,2,1.9055653
033aa4b,2,1.9205132
03448b6,3,2.6639416
0345980,4,3.7718763
035a4d2,1,1.0786418
036e19b,2,3.1057265
036f820,3,3.2465758
0376bcb,3,2.7814934
037ac1f,3,2.996801
039e817,2,2.2416558
03f8d0e,3,2.9020858
040ba87,4,3.6216793
040bb8a,4,4.0028763
041804e,4,3.8769965
0429d4a,2,2.5282383
0435f85,3,2.7887228
04575a9,4,4.0286684
0459116,5,4.514818
045fec2,3,3.5978212
0467e2a,4,3.9169054
047bb6e,1,1.8827863
047f2c6,3,3.2423944
0493c5f,1,1.4037545
0499982,3,3.2478054
04a4c98,3,2.893046
04a99cb,3,3.5774446
04af97d,4,3.905737
04d2b73,4,3.737079
04db8d6,3,2.239507
04defeb,2,2.2903504
04ef8ff,3,3.2610297
04f8928,2,2.1527386
0509d92,4,2.7332582
05182bf,4,3.708099
054e4c8,3,2.6842318
0571af0,4,3.9486606
0595f5d,1,1.0929786
05b0858,4,3.7347589
05b37db,2,2.1082366
05c4acd,2,2.266101
05cafcf,4,3.4774544
05e6736,3,2.9723272
05efbec,4,3.810607
05fa0f0,1,1.5831228
0608495,3,3.8296885
0616815,2,2.2093527
061ba37,2,2.9200268
0668f09,5,4.525724
06730ad,3,2.3366508
06939ab,3,2.9355865
069945c,3,3.0748923
06c7ba1,3,3.3114934
06cb1df,2,2.3516922
06d752e,2,3.1103039
06ed983,3,2.8967113
071de41,4,3.9436078
0728321,4,3.2814395
072c8a3,3,3.9321346
0742654,2,2.8904028
0746d1a,2,2.787253
07492fd,3,2.6409287
074b43d,3,3.243829
0760842,3,4.147624
0764c35,3,2.2090158
0767c85,3,3.54175
0775ccb,3,2.8872612
077acd9,3,3.7044036
078120d,4,3.1420233
0785120,4,3.387483
0786ec3,3,2.6740985
0792205,1,1.1034738
07952db,3,3.226359
07a82b9,4,4.4105544
07b6457,2,2.0343418
