essay_id,TOP1,is_pc2
000d118,A455B4430327,1
000fe60,065FB33AF455,0
001ab80,034965A9A9FB,0
001bdc0,57167C40AB58,0
002ba53,B2B0FD5FBBBB,1
0030e86,7927FA99C0AD,1
0033037,D00CD64E66AC,0
0033bf4,30BEAF533E9F,1
0036253,2414D2AF4D56,1
0040e27,BED3F52C69F9,1
004229b,85400B0AEEDA,1
0047cb3,AB8A9EF18B42,1
005a72e,2AFF06240C43,1
00613e3,6A521D8BCFCA,1
0065bd6,2EF5785AE8E6,0
0066c7c,9248E0BEFDD2,1
006c931,FF05C8BE5150,1
006d0e1,2DE765F532D2,1
0072128,4849ADCE26D8,1
0079938,332FDA404A85,1
0079f2a,9988105D15FB,1
007db64,04C90EF1C88A,0
0081f18,95E622E22E04,1
008341a,72B27B0798DD,1
0084f6c,E97CFAC702F9,1
0087059,73E967510324,0
0098ef4,49D4BB623BE8,1
00a3575,9CC514380DD1,1
00a4469,4E35C2446E9C,1
00a541a,91BE694E60E0,0
00a6693,19798292EC06,1
00a6e71,41E0F65F4D8B,1
00aa6de,C295C3018962,1
00b2fe2,F65618376429,1
00b3311,69EC06408ECC,1
00bee4c,69CF251771E1,1
00c3589,BF905538DE6A,0
00cb5dc,CF8ABC3DE382,1
00ccc2d,7E7B3B164338,1
00d027f,2134F6E68E46,0
00d4911,2689E413844D,1
00d576b,70027A370691,1
00da297,7699AA6DF309,0
00daaa2,AD34E4ED347B,1
00dd003,27C093CFB919,0
00e047b,9371586F4E86,1
00e3edb,5A46CBA7C398,1
00e5687,93E10E079796,0
00eabc5,4CD26121DE71,0
00ef89f,1B1FBDE25C2C,1
00f3984,A7D77A7A09E0,1
00f6383,57E1105DA4FC,1
00f6ac7,F3F1E1024761,1
00fca9b,6C3B81B109A8,0
00fd564,ADC3C0B672FA,0
00feec3,C836CCC60538,1
0105e2e,234A0752D085,1
0123792,5E0DEE67C111,1
01247bc,386A009D6493,1
01267d1,619425D74CE9,0
01290ec,4AA39A73CA21,1
012c9be,2AF0D4565FBC,1
012f8f0,DF764CB197A7,0
013ac83,DCAE8E42E1FA,1
014eba6,7DC4F95091B6,1
014f1b3,D1E5848968C6,1
0151c0f,CAE908DEFBB9,1
0155be4,F9EBBBF6710E,0
0156ea6,54986FCA3028,1
015ac93,A2E46DA7D8BD,1
016010c,219F04FD37B6,1
0163804,D7971BF023E5,1
01665d5,F0BF1449FA2E,0
016ed64,B6D6889E36A1,0
01711c3,CE4F2BEADC8C,1
01846d8,672DB1A41215,1
0187e96,9FA89890B633,1
018985d,5ACC26FF2398,1
018fbeb,5E319ADD6A10,1
018ff85,8B24E44082C3,0
019b862,FD15CD8208FC,1
019e2c4,793DE5EFEB37,1
019e8c3,61FED6B5DED5,0
01a0d33,F2D6B8E26072,0
01a39ed,B4F4CD4F2A11,1
01a53e1,2C76C3434FE0,1
