essay_id,score,raw_pred
000d118,3,2.3365865
0040e27,3,3.1929526
0047cb3,2,1.8609746
005a72e,4,4.2607784
00d027f,3,3.2400937
00e047b,4,3.745167
00f3984,2,2.3435624
00f6383,3,3.4615414
00fd564,3,2.9984424
01247bc,2,2.5999496
01267d1,1,2.6628969
014f1b3,2,1.3944123
0151c0f,4,3.9842153
0156ea6,1,1.3323407
016010c,5,4.540204
01665d5,3,3.0077229
01846d8,2,1.7667856
018fbeb,2,2.774132
01a0d33,3,3.4829178
01a53e1,4,3.1636508
01ae85f,3,3.4596877
01b55c8,4,4.4408875
01bb061,1,2.7506351
01bb2f3,2,3.0972466
01c3e09,1,1.5193729
01cbe3d,4,3.6776786
01dabde,5,4.6054454
01e64c4,2,2.101465
0210900,2,2.0799313
0211cb6,1,3.0613549
021271e,3,2.8196855
0220c9f,3,3.016427
0224c63,2,2.483894
022a010,5,4.176077
023c138,4,3.7446725
0281195,2,2.1383219
0286af8,2,2.5353482
0296469,3,4.0673285
02da02a,3,3.5740612
02f6c8a,5,3.9706297
0302537,3,2.5696268
030cf8b,3,4.0650496
031ab01,4,4.216882
03237a6,3,3.6606271
0331f55,4,4.2263136
035e3c7,3,3.4966862
0374dae,3,2.536599
037545d,4,3.9654562
039b748,4,3.496657
039fed8,2,2.5629435
03c0382,4,3.534358
03c75d3,4,4.3595586
03ca725,3,2.358466
03ce0a7,4,3.695389
03d8fe8,4,4.045803
03ee9ea,2,2.3815684
03ffbb2,2,2.5577443
04030c7,3,3.673588
04128c7,3,3.1099784
0425a6e,3,3.158454
042b0cd,4,3.573961
043d5a8,2,3.166153
044a23f,3,3.422322
046d467,1,1.1408914
047a377,3,2.5414834
04a4399,4,4.015917
04af4e1,1,2.7020454
04b354e,5,4.3527784
04d0713,2,1.6060495
04dbd25,4,3.9932895
04df837,4,3.5008287
04e1177,2,1.7493248
0502b23,3,2.8405025
051429c,3,1.7855593
0516f28,1,1.4276764
053fa01,3,2.4678063
0550fb1,3,3.2953746
05806ed,3,3.1691642
0581013,2,2.1970234
05aacdb,4,4.217477
05b01a4,3,3.2979
05bcd1b,2,1.5024598
05c2752,2,2.035345
05dcee6,2,2.1239066
05e1eae,2,1.6116582
05f81ce,4,4.2357635
0607ed1,3,3.6442895
0630503,3,2.5775766
06333c3,3,2.3058338
0640912,4,3.93012
0649f8e,2,1.9212198
0657f4c,2,1.7921349
0679f5a,4,3.4696999
067a23d,2,1.75074
0681136,3,2.7208006
06a9fdf,3,2.6627893
06aa705,2,1.9417584
06e25aa,2,3.2401419
06ef6d4,3,2.323096
070faae,3,3.8799753
0711276,2,1.4157269
071bcae,1,1.7229276
071dba8,3,2.888064
073d5b0,4,3.5402875
074ba84,3,1.9337962
074fd98,4,3.9837599
077cf8e,2,2.1868968
07845e1,4,3.350228
078f997,3,2.5573833
07a14a5,6,4.266223
07b6ce2,2,2.1829486
07c7556,4,3.5747883
07cde52,4,3.6034536
07ce28e,3,3.8696465
07d41ed,6,4.346158
07eb783,2,2.200778
0802a6e,2,2.0540476
0804daa,1,1.3452183
081b620,3,3.0190923
08519b2,5,4.8338337
085f158,2,3.7053044
0870f09,3,2.9984975
0890d0b,4,3.9636538
0890e40,3,2.7717297
089b9f0,3,3.211372
089e8f5,4,4.2221193
08a4217,3,3.5868142
08a4c92,4,3.9063883
08c3b51,4,3.7494452
08cec1d,4,4.6574106
08d4d59,4,3.9451714
08e4b2e,3,2.8809724
08f129d,4,3.3634043
08fbb47,5,4.119863
