essay_id,score,raw_pred
002ba53,3,2.7272513
0030e86,4,3.996838
0036253,2,2.5321531
004229b,2,2.2477632
006d0e1,4,4.027594
0079938,3,2.4285574
0087059,1,1.0963767
0098ef4,4,4.1631584
00a6e71,2,2.7995512
00bee4c,3,3.11425
00cb5dc,2,2.2277796
00da297,3,2.8474803
00daaa2,3,3.0154006
0123792,4,4.9215565
012c9be,2,1.9046547
0155be4,3,2.868598
015ac93,3,3.0285933
01711c3,3,3.5305042
018ff85,4,3.8810356
019e8c3,3,3.4946885
01b9b63,2,2.3947961
01bd69c,3,1.9330962
01c1169,3,2.8300486
01c8f7a,2,1.5252098
01d0836,2,1.6796801
01d2df1,4,3.8908525
01d6e7e,3,2.3144794
0200fbc,3,3.2517421
0226250,4,3.0827634
0226c11,3,3.2079756
0227e67,4,3.9352965
022b620,2,1.0739908
0232d34,2,2.2701702
024a3bb,2,2.3243494
026355a,4,3.562149
0269b85,3,2.095546
0273b7b,3,3.1221526
0293f31,3,4.3142138
02a059f,4,3.5300326
02ab5d2,5,4.2645445
02c1ebd,3,3.1453068
02cbcbc,4,3.3708906
02cfa15,2,1.9045455
02d0224,2,1.9359514
0305a15,1,1.7969903
0318358,3,3.129947
031bbb0,3,3.3213193
031e4d6,3,2.8108714
03205e9,4,3.1626558
03314fd,3,3.4856653
0347bb4,3,2.5822377
03630c7,3,3.188209
03705ca,4,3.8780656
038fd62,3,2.2170649
03ae0c4,3,4.608642
03afc1e,2,2.1724415
03d074f,4,3.9904737
03e687e,3,3.3133717
03e804e,1,1.01355
03ec474,3,2.6584787
03f2d76,3,3.2241495
042167f,2,2.8096375
042dc86,3,3.0448456
043e1a0,3,2.6588514
045c7fb,4,3.0569499
0461df3,2,1.8781679
046e84a,3,3.4695477
046efe7,3,3.0590093
048b9b6,4,4.262601
04b6e9b,2,2.2142625
04bc9b6,4,4.8224564
04d13e6,3,3.435508
04d409d,4,4.3826833
04da4bf,3,2.623672
04e00f8,2,2.02633
04ea96d,3,3.3415706
04ec9a4,3,3.5986073
04f1fc3,1,1.577136
051c46a,3,3.0846632
053f99e,1,1.4466331
0540b80,4,3.436863
054b8f9,3,2.6556654
056394c,4,3.3442407
058ecd3,3,3.3666449
059af98,3,3.6246195
059f496,2,2.3756852
05ae003,2,2.6791904
05cb18a,2,1.8280789
06041d8,3,3.040824
0608fab,3,2.8703232
060d2bb,3,2.4942918
06235e1,4,4.250219
0639535,4,3.9372313
0640183,3,2.7082613
06673c8,4,4.3545017
06766be,3,2.768845
0678715,2,1.9908422
0683ac3,3,3.738325
0687af4,5,3.9897914
068ad55,3,2.7566805
0693237,2,2.8865252
06b51cb,3,1.5672659
06bad05,2,1.8896881
06c3953,5,4.4547863
06c7026,3,3.4622574
06cbce6,3,2.6892145
06d6248,3,2.891892
06fa3b6,3,3.826213
07122f0,2,2.5424106
07309cb,1,1.0248327
0759934,2,2.076026
076f000,2,2.2624846
0778075,2,2.315206
077eeea,2,1.5076492
079a340,3,2.5153844
079b107,4,3.744248
079e8bb,3,3.568901
07a2516,3,2.1911788
07a6b84,2,2.2144518
07a7832,2,1.9618556
07d6f42,3,3.6861649
07e7133,4,4.3858747
07e96aa,3,3.0321407
07f8601,3,2.7572622
0811694,4,4.200054
08133fe,3,2.620527
08296be,2,2.0881877
0840ed9,2,2.2582068
0870d64,3,2.1536036
087f29f,2,2.875991
088bb4a,3,3.1228685
0892cb5,2,2.1666112
08dab5c,3,3.197569
08dac82,3,2.416138
08e2ae1,2,2.2654297
08ef617,1,1.6304845
08f22e9,3,2.6039243
091eaf0,1,1.1291648
0931a6e,4,3.609282
0967e3f,2,2.339755
096aa1c,2,2.1677432
096b178,4,2.9774487
0975e3f,4,3.7434893
09b7afb,4,3.1747282
09c0506,5,4.631728
09c5771,2,2.9105191
0a22908,6,5.1417203
0a31858,1,1.0363696
0a35ec7,2,1.8601441
0a41d42,2,1.7791162
0a48500,4,3.5279734
0a494e5,3,2.0522704
0a54018,4,2.5708961
0a67e11,3,3.1102872
0a98eef,3,3.0890608
0aa6277,1,1.0328197
0aa9cee,3,2.6585255
0aaf5f1,1,1.6102619
0ab5467,3,2.41887
0aba46b,3,2.2449613
0ac3c47,2,2.0156932
0ad0588,3,3.000581
0ad08bd,2,1.9780575
0ad4de2,3,3.1603968
0ada1e2,1,1.1010305
0adafa7,3,2.5294046
0aefcef,2,2.5471778
0af56e8,4,3.6321628
0b2a399,3,3.3579226
0b53b04,3,2.8990738
0b62ebe,2,2.4269874
0ba0a50,4,3.5324364
0ba4fc3,3,2.814297
0bb2665,3,2.6225195
0be5034,2,2.3415112
0beb053,3,2.1142912
0bfe967,2,1.8123732
0c0463c,5,5.4520645
0c172e6,2,1.9807618
0c5ec1c,3,3.4868906
0c63220,3,2.6808753
0c76268,3,2.827054
0c8a07d,2,2.2681525
0c8f97b,2,1.5486466
0cae471,5,4.2591724
0cb54b1,2,1.9308708
0cd1679,2,2.349943
0cdb059,3,2.5997906
0cdc0d0,2,2.7345595
0cf8c55,3,2.0974674
0d20e93,2,2.130623
0d34dea,1,1.5702981
0d57890,3,2.5527267
0d5a937,4,2.9736347
0d5afc5,3,3.747943
0d8bfc5,3,2.7176003
0da2967,4,3.812993
0da70c3,3,2.6792035
0dbae6d,2,1.8103801
0dbc16f,2,2.696582
0dc6aae,2,1.6107836
0dc777f,3,3.440427
0dd2328,3,2.1181297
0de71cb,4,4.8171167
0df2499,1,1.6777842
0df2924,3,2.0653195
0e0ef1b,2,2.8287601
0e289bb,2,2.103146
0e46514,4,3.8112934
0e47da5,3,2.5989537
0e51031,3,2.7782204
0e7154c,3,3.0949082
0e78aef,2,2.4565616
0e7a613,4,3.4548576
0e86176,3,2.7058887
0e8864c,4,4.35733
0e9a9d3,1,1.2471298
0ea1c1f,4,3.5746946
0ea87c4,1,1.0249597
0eb0013,4,3.7613723
0ef4f4f,4,3.2553685
0f01b9a,4,4.0454636
0f18dcd,4,3.7788832
0f1ab9c,4,3.6399465
0f393ae,5,4.6479807
0f79e39,3,3.1720161
0f7cc68,3,2.5909648
0f820c4,1,1.157378
0f87684,3,3.564945
0fa8295,4,4.000727
0fc04b5,4,3.496169
0fc2a56,3,3.26197
0fcadb2,2,1.2933874
0fcc1b3,4,4.190349
0fe6787,2,1.6148348
0fe6e52,3,4.674168
0ff5475,2,2.801026
0ff64dd,4,3.6651764
102a358,3,2.8298616
102d4b2,5,3.9500344
1035807,2,1.9134837
103c22b,2,2.0836344
103ff95,1,2.1168694
1042884,3,2.4373221
104c9c2,3,2.5887523
106d4c6,2,1.5007522
1072f17,2,1.5623157
10787dc,3,2.4433956
1084b79,4,3.374131
10aea63,4,3.8709989
10b6dea,4,4.092665
10be2a0,2,3.0195923
10e0b91,2,1.5802659
10ee01f,4,3.5079355
10fe8cc,4,3.3413465
1111bf7,2,1.2121552
111b844,5,5.1731925
1125efc,3,2.7431731
112a3fc,2,2.2435455
117597e,4,4.1688266
118557a,3,2.5918832
1196de9,4,3.5862556
11a8058,1,1.1096668
11aa299,3,3.303488
11b3326,3,2.2948842
11bc37a,2,1.9755898
11bdb65,4,4.568077
11d450b,2,2.7147942
11dca95,4,3.2256863
11eda40,1,1.006749
11f89ce,3,2.818517
121259d,1,1.154332
1221dcf,2,2.6050203
1226107,2,2.7754512
1237e4d,2,2.8163779
123dd58,3,3.521156
124fff0,3,3.0890357
127b51e,4,3.694717
127bdc7,2,2.3536756
127e739,4,3.809591
1280d6a,3,2.7926989
129237b,1,1.423482
129f0da,2,2.0716684
12a1427,5,4.2015986
12a72bd,4,4.576863
12b48f2,2,2.3767734
12cfb98,4,3.5522497
12e08a3,3,2.2983227
12e0df6,2,2.1269848
12e8e0b,3,2.6497169
12ec7bb,3,3.4963655
12f28ff,2,2.4056914
12ff706,4,3.9015098
130c73a,4,3.3054307
1315576,3,2.8691266
1319f06,4,3.9336069
131b17a,2,2.1976893
1343a02,3,2.093184
135c9a2,3,3.6653132
135d4e6,3,3.8294346
135eb15,4,4.353528
13637e9,4,2.6757994
13724f7,3,2.9383454
1379de4,2,2.2149029
138ecab,4,3.6998067
139293a,4,3.8740463
13aa520,4,4.231769
13ae3c3,3,4.098038
13c7a43,4,4.037859
13d0391,1,1.061305
13e2e99,4,4.0037117
13f1eb5,2,2.3654728
13f75ec,5,4.7592506
13f9359,3,2.8040452
140846f,4,4.003106
140eb3b,4,3.4113755
141f147,4,4.4927077
142f458,3,2.4333181
144074a,3,2.9702373
144a332,3,3.2316918
1469a70,2,2.040569
14a1792,5,4.690522
14b3ac5,3,3.4074636
14c579b,3,2.867984
14d1bfc,5,4.2086687
150d761,4,4.808847
1545f83,3,2.716558
